Source,Target
1,560
1,591
3,671
4,675
4,738
10,9
10,119
10,281
10,726
12,87
12,381
12,381
13,381
14,37
14,425
14,437
18,776
19,68
20,335
21,729
22,441
25,331
25,769
27,119
28,118
28,357
31,176
31,276
31,458
33,688
36,498
38,106
39,51
39,121
41,383
41,776
46,347
48,68
48,101
48,184
48,314
51,121
52,288
54,345
55,119
55,795
56,480
56,772
57,356
59,748
59,842
62,676
62,699
62,705
62,706
62,790
63,79
64,17
65,481
65,876
66,65
66,481
66,876
67,335
68,24
68,191
68,314
68,388
68,409
69,119
69,362
69,461
70,876
71,41
72,329
74,451
75,174
75,175
76,385
77,535
77,538
77,731
80,260
82,234
82,335
84,203
84,260
85,335
85,688
88,839
89,19
89,68
91,90
91,140
93,713
94,333
94,590
94,668
94,837
94,847
95,43
98,38
98,106
101,68
101,314
104,125
104,237
104,566
109,222
111,546
111,604
112,438
112,661
113,112
113,661
114,297
115,610
116,441
116,513
119,192
119,192
119,192
119,192
119,192
119,192
119,192
119,192
119,192
119,192
119,192
119,192
119,309
119,359
119,775
119,795
120,505
120,594
120,650
121,81
121,251
122,107
123,286
123,407
124,48
124,68
124,101
124,131
124,184
124,310
124,314
126,139
126,358
126,372
128,227
129,235
133,271
134,599
135,384
137,184
137,215
137,239
137,239
139,98
139,425
139,441
139,487
139,504
139,544
142,226
142,332
143,119
146,382
147,102
148,76
148,385
149,341
149,361
151,337
155,571
155,834
157,26
158,224
158,408
159,119
160,5
160,460
160,557
163,43
163,95
163,324
164,100
165,17
165,64
167,462
167,637
170,549
172,485
173,196
173,345
173,345
174,443
175,173
175,173
175,173
175,174
175,228
175,345
175,345
175,345
175,425
175,634
175,640
175,653
176,276
176,458
178,235
178,245
179,194
179,194
179,194
179,194
179,194
182,181
183,68
183,230
184,68
184,101
184,314
185,105
185,619
186,365
187,188
190,340
190,358
194,263
194,285
194,345
198,318
199,73
200,238
201,52
201,288
204,240
205,200
205,238
207,769
209,299
209,342
212,821
214,852
215,184
215,239
217,616
218,502
224,83
224,408
226,255
230,68
233,19
234,168
234,236
234,264
234,688
235,245
235,688
236,688
239,184
239,234
239,689
242,345
244,115
244,610
248,713
249,135
249,383
249,384
250,40
252,291
263,285
264,168
266,119
266,267
267,119
268,496
268,845
270,241
272,171
272,171
276,63
276,79
276,119
276,123
276,156
276,277
276,286
276,322
276,407
276,417
276,424
276,458
276,698
282,578
283,401
286,407
287,115
287,244
287,610
296,584
301,667
301,818
304,32
305,307
308,761
312,335
312,351
313,99
314,24
314,68
314,388
314,409
315,30
315,173
315,320
316,817
316,817
323,227
325,750
325,799
326,72
326,329
326,428
327,345
328,270
332,226
333,590
333,668
333,837
333,847
334,169
335,33
335,34
335,119
335,127
335,208
335,223
335,234
335,351
335,358
335,359
335,359
336,153
336,610
337,436
340,342
340,359
340,635
342,119
342,119
342,223
342,335
342,340
342,340
342,359
342,801
344,105
344,119
344,185
344,337
344,436
344,619
345,325
345,346
349,28
350,107
350,122
352,279
352,317
354,529
355,306
355,313
357,374
357,376
358,28
358,119
358,234
358,340
358,356
358,605
358,715
359,8
359,119
359,119
359,119
359,335
361,341
362,461
363,774
364,41
364,71
364,445
368,383
369,335
370,321
371,445
373,265
373,536
375,859
376,374
377,487
378,42
378,379
381,12
381,12
381,12
381,87
383,135
383,384
383,776
385,135
385,249
385,383
385,384
386,119
388,24
388,409
389,549
389,579
389,712
393,28
394,625
397,161
398,154
399,400
399,620
399,859
399,859
403,342
404,136
406,29
406,484
406,487
407,158
407,224
407,404
407,404
407,408
409,24
410,411
412,265
412,373
412,536
413,412
417,63
417,79
417,305
417,307
417,542
419,415
420,413
424,423
425,14
425,36
425,37
425,244
425,876
425,878
429,89
430,126
430,381
432,262
432,643
433,171
433,272
433,425
434,83
434,224
434,501
437,425
439,581
439,769
440,769
440,887
440,887
441,32
441,304
444,186
445,186
445,218
445,444
445,502
447,171
447,272
447,433
449,119
450,123
450,276
450,286
450,407
452,127
452,335
453,68
453,183
453,230
454,23
455,41
455,71
455,364
456,422
459,527
460,5
460,161
460,461
460,557
461,130
461,295
463,238
465,760
469,769
473,568
474,64
474,768
476,531
478,479
480,772
481,876
483,225
484,487
486,235
487,441
487,537
487,611
490,119
490,649
493,274
493,496
493,532
493,550
493,841
493,879
496,274
496,845
497,35
497,499
497,740
497,740
497,824
497,824
501,83
501,224
505,594
507,50
508,610
508,883
509,117
510,546
510,572
512,560
512,595
512,774
513,441
514,119
514,490
514,649
515,623
517,610
518,91
518,140
519,461
519,702
520,335
520,335
520,335
520,335
520,335
520,335
523,580
523,815
523,860
524,525
524,669
524,827
525,827
526,359
527,621
528,624
532,841
534,533
536,265
538,280
538,535
538,731
540,470
541,364
541,445
541,680
541,832
543,258
545,597
545,721
545,881
546,572
549,579
549,679
549,712
549,712
549,739
550,274
550,496
551,500
557,5
558,783
559,774
559,888
560,595
560,774
561,464
563,823
564,139
564,544
564,549
564,585
564,710
567,174
569,754
570,554
570,678
571,834
574,117
574,509
575,358
575,560
575,671
575,734
575,734
576,852
580,246
580,720
580,860
581,554
581,570
581,573
581,608
581,651
581,678
582,865
583,580
583,756
585,622
587,762
590,837
590,847
591,560
593,527
593,621
593,645
593,681
593,687
593,725
593,814
593,874
595,774
596,549
596,712
596,739
597,721
597,881
598,522
600,610
600,777
600,847
602,576
602,852
604,546
605,28
607,681
608,573
610,53
610,560
610,577
610,614
610,634
610,644
610,777
610,791
610,845
610,847
610,861
613,226
618,810
619,105
627,615
628,556
629,473
629,568
629,664
630,359
631,465
631,648
631,760
633,476
633,531
633,864
637,0
637,785
637,825
637,825
637,825
637,825
638,673
638,769
643,262
645,874
646,859
647,146
647,592
647,657
647,793
648,465
648,760
649,119
650,505
650,594
652,59
655,675
656,21
656,729
657,146
657,793
660,724
660,735
660,814
663,572
664,473
664,568
666,769
667,818
668,590
668,837
668,837
668,847
669,525
669,827
670,350
671,358
671,688
671,734
671,811
671,838
674,511
674,876
676,378
676,379
677,468
677,560
677,575
678,554
680,364
680,445
680,832
681,470
681,540
681,645
681,682
681,874
682,470
682,540
683,553
685,828
686,665
686,763
688,162
688,239
688,325
688,335
688,750
688,827
689,234
691,737
691,884
691,888
693,695
694,335
694,335
694,335
694,335
694,335
694,335
694,520
694,520
694,520
694,520
694,520
694,520
694,520
696,771
696,877
697,691
697,737
697,884
697,888
698,63
698,79
698,223
698,417
699,676
699,705
699,706
699,790
705,676
705,706
705,790
706,676
706,790
707,530
708,562
708,701
708,716
709,539
710,585
712,549
712,579
712,679
712,739
716,562
717,261
717,464
717,547
717,561
718,795
720,246
721,881
725,687
727,581
731,535
733,732
734,358
735,724
735,814
738,675
740,499
740,824
740,824
741,618
744,442
746,468
746,677
747,545
747,597
747,721
747,752
747,881
751,671
751,688
753,873
756,580
757,426
758,507
759,837
763,665
766,647
767,892
767,892
767,892
768,73
768,199
769,227
769,471
769,563
769,581
769,691
769,697
769,737
769,820
769,823
769,884
769,888
770,359
773,218
777,322
777,847
777,880
780,660
780,724
780,735
780,814
780,896
781,494
782,121
788,760
788,760
789,173
790,676
793,146
793,427
794,871
798,575
799,893
801,427
801,769
801,793
801,875
802,615
802,627
803,395
804,226
804,255
809,138
810,658
810,663
813,617
814,687
814,724
814,725
815,580
815,860
817,610
817,634
817,845
818,703
820,533
820,534
820,680
820,808
820,829
820,869
824,499
826,862
826,868
827,826
828,492
828,576
828,602
828,826
828,852
828,862
831,482
832,364
832,445
834,587
834,762
834,794
834,871
835,730
836,692
838,174
838,293
838,567
838,811
843,668
843,837
844,872
845,634
845,847
845,882
847,322
847,837
847,882
848,448
849,851
851,848
857,477
857,776
859,399
862,560
863,246
863,580
863,720
864,476
864,531
865,232
865,518
865,867
866,518
866,865
876,100
876,491
876,511
876,521
876,610
877,771
883,610
883,819
884,737
884,737
884,737
884,888
884,888
884,888
885,221
887,769
887,799
887,893
888,663
888,737
888,737
888,737
888,774
888,810
889,769
891,2
893,609
893,897
896,660
896,724
896,735
896,814
898,617
898,813
899,441
903,906
905,243
905,906
906,243
906,904
